Year,"Total forcing [V,S,L,G]"
1931,0.6045225000000001
1932,0.5909679999999999
1933,0.58146
1934,0.609059
1935,0.655443
1936,0.732213
1937,0.731472
1938,0.728859
1939,0.732777
1940,0.7214309999999999
1941,0.701242
1942,0.6757139999999999
1943,0.6429819999999999
1944,0.6429339999999999
1945,0.691871
1946,0.712539
1947,0.759186
1948,0.785956
1949,0.779595
1950,0.746966
1951,0.71743
1952,0.726567
1953,0.714842
1954,0.734021
1955,0.7678750000000001
1956,0.8739349999999999
1957,0.950908
1958,0.957452
1959,0.933505
1960,0.936178
1961,0.891491
1962,0.881455
1963,0.890398
1964,-0.969399
1965,0.220527
1966,0.8573200000000001
1967,1.0138343
1968,1.05777138
1969,1.101994806
1970,1.130661
1971,1.105834
1972,1.151937
1973,1.1489509999999998
1974,1.157924
1975,1.150627
1976,1.183951
1977,0.866125
1978,1.230275
1979,1.4380782
1980,1.49789578
1981,1.542971826
1982,1.50236
1983,1.511454
1984,1.478697
1985,1.47763
1986,1.506703
1987,1.563897
1988,1.66125
1989,1.793673
1990,1.799616
1991,1.8081
1992,-0.6848069999999999
1993,0.52162
1994,1.6883179999999998
1995,1.9326503
1996,1.98660609
1997,2.0332587
1998,2.14437
1999,2.23046
2000,2.30389
